Spill Number,Program Facility Name,Street 1,Street 2,Locality,County,ZIP Code,SWIS Code,DEC Region,Spill Date,Received Date,Contributing Factor,Waterbody,Source,Close Date,Material Name,Material Family,Quantity,Units,Recovered
1305446,#2 FUEL OIL SPILL FROM FILL PIPE,41 ELLIOT PLACE,,BRONX,Bronx,,301,2,8/20/2013,8/20/2013,Equipment Failure,,Commercial/Industrial,,#2 fuel oil,Petroleum,5,Gallons,0
1402546,1000 COMMERCE AVE.,1000 COMMERCE AVE.,,BRONX,Bronx,,301,2,6/21/2013,6/9/2014,Unknown,,Unknown,,unknown petroleum,Petroleum,0,,0
9303328,1-11 HUDSON AVE,1011 HUDSON AVENUE,,BROOKLYN,Kings,,2401,2,6/14/1993,6/14/1993,Unknown,,"Major Facility (MOSF) > 400,000 gal",,#6 fuel oil,Petroleum,300,Gallons,0
1112925,1066 ZEREGA AVENUE,1066 ZEREGA AVENUE,BRONX,,Bronx,10462,301,2,12/7/2011,1/16/2012,Unknown,,"Major Facility (MOSF) > 400,000 gal",,#2 fuel oil,Petroleum,0,,0
9514946,108 PRECINCT NYPD -DDC,5-47 50TH AVENUE,,LONG ISLAND CITY,Queens,,4101,2,2/21/1996,2/21/1996,Unknown,,"Institutional, Educational, Gov., Other",,gasoline,Petroleum,5,Gallons,0
9806152,1110 STADIUM AVE,1110 STADIUM AVE,,BRONX,Bronx,10465,301,2,8/17/1998,8/18/1998,Tank Test Failure,,"Institutional, Educational, Gov., Other",,#4 fuel oil,Petroleum,0,Gallons,0
806500,112-12 ASTORIA BLVD,112-12 ASTORIA BOULEVARD,,EAST ELMHURST,Queens,11369,4101,2,9/9/2008,9/10/2008,Unknown,,Unknown,,gasoline,Petroleum,0,,0
9007338,113 PRECINCT NYPD -DDC,167-02 BAISLEY BOULEVARD,,JAMAICA,Queens,,4101,2,10/4/1990,10/4/1990,Tank Test Failure,,"Institutional, Educational, Gov., Other",,gasoline,Petroleum,0,Pounds,0
5076,115 ST/116 ON BROADWAY,115TH /116TH ST  BROADWAY,,MANHATTAN,New York,,3101,2,7/28/2000,7/28/2000,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,200,Gallons,0
801917,1171 ZEREGA AVENUE REALTY CORP.,1171 ZEREGA AVE,,BRONX,Bronx,10462,301,2,5/19/2008,5/19/2008,Tank Test Failure,,Commercial/Industrial,,#2 fuel oil,Petroleum,0,Gallons,0
9113336,11TH AVE & W 29TH ST,11TH AVE & W 29TH ST,,MANHATTAN,New York,,3101,2,8/16/1991,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"9,000",Gallons,0
